"Result","Competitor","Nat","Venue","Date","Gender","Event","StateDope"
"26:17.53","Kenenisa Bekele","ETH","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:20.31","Kenenisa Bekele","ETH","Ostrava","2004-06-08","men","10000m","NULL"
"26:22.75","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","1998-06-01","men","10000m","NULL"
"26:25.97","Kenenisa Bekele","ETH","Eugene, OR","2008-06-08","men","10000m","NULL"
"26:27.85","Paul Tergat","KEN","Bruxelles","1997-08-22","men","10000m","NULL"
"26:28.72","Kenenisa Bekele","ETH","Hengelo","2005-05-29","men","10000m","NULL"
"26:29.22","Haile Gebrselassie","ETH","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:30.03","Nicholas Kemboi","KEN","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:30.74","Abebe Dinkesa","ETH","Hengelo","2005-05-29","men","10000m","NULL"
"26:31.32","Haile Gebrselassie","ETH","Oslo","1997-07-04","men","10000m","NULL"
"26:35.63","Micah Kipkemboi Kogo","KEN","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:36.26","Paul Kipsigich Koech","KEN","Bruxelles","1997-08-22","men","10000m","NULL"
"26:37.25","Zersenay Tadese","ERI","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:38.08","Salah Hissou","MAR","Bruxelles","1996-08-23","men","10000m","NULL"
"26:38.76","Ahmad Hassan Abdullah","QAT","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:39.69","Sileshi Sihine","ETH","Hengelo (Blankers-Koen Stadion)","2004-05-31","men","10000m","NULL"
"26:39.77","Boniface Toroitich Kiprop","UGA","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:41.58","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","2004-05-31","men","10000m","NULL"
"26:41.75","Samuel Kamau Wanjiru","KEN","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:41.95","Boniface Toroitich Kiprop","UGA","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:43.16","Kenenisa Bekele","ETH","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
