"Result","Date","Event","Gender"
"9.58","2009-08-16","100m","men"
"9.69","2008-08-16","100m","men"
"9.72","2008-05-31","100m","men"
"9.74","2007-09-09","100m","men"
"9.77","2005-06-14","100m","men"
"9.77","2006-06-11","100m","men"
"9.77","2006-08-18","100m","men"
"9.79","1999-06-16","100m","men"
"9.84","1996-07-27","100m","men"
"9.85","1994-07-06","100m","men"
"9.86","1991-08-25","100m","men"
"9.9","1991-06-14","100m","men"
"9.92","1988-09-24","100m","men"
"9.93","1983-07-03","100m","men"
"9.93","1987-08-30","100m","men"
"9.93","1988-08-17","100m","men"
"9.95","1968-10-14","100m","men"
"10.02","1968-10-13","100m","men"
"10.03","1968-06-20","100m","men"
"10.06","1964-10-15","100m","men"
"19.19","2009-08-20","200m","men"
"19.3","2008-08-20","200m","men"
"19.32","1996-08-01","200m","men"
"19.66","1996-06-23","200m","men"
"19.72","1979-09-12","200m","men"
"19.83","1968-10-16","200m","men"
"19.92","1968-09-12","200m","men"
"20.14","1967-06-17","200m","men"
"20.36","1964-10-17","200m","men"
"43.18","1999-08-26","400m","men"
"43.29","1988-08-17","400m","men"
"43.86","1968-10-18","400m","men"
"44.06","1968-09-14","400m","men"
"44.82","1966-08-11","400m","men"
"45.07","1960-09-06","400m","men"
"1:40.91","2012-08-09","800m","men"
"1:41.01","2010-08-29","800m","men"
"1:41.09","2010-08-22","800m","men"
"1:41.11","1997-08-24","800m","men"
"1:41.24","1997-08-13","800m","men"
"1:41.73","1981-06-10","800m","men"
"1:41.73","1997-07-07","800m","men"
"1:42.33","1979-07-05","800m","men"
"1:43.44","1977-08-21","800m","men"
"1:43.5","1974-06-08","800m","men"
"1:43.7","1973-06-27","800m","men"
"1:44.0","1973-05-27","800m","men"
"1:44.3","1962-02-03","800m","men"
"1:44.3","1966-06-10","800m","men"
"1:44.3","1972-07-01","800m","men"
"1:45.7","1955-08-03","800m","men"
"3:26.00","1998-07-14","1500m","men"
"3:27.37","1995-07-12","1500m","men"
"3:28.86","1992-09-06","1500m","men"
"3:29.46","1985-08-23","1500m","men"
"3:29.67","1985-07-16","1500m","men"
"3:30.77","1983-09-04","1500m","men"
"3:31.24","1983-08-28","1500m","men"
"3:31.36","1980-08-27","1500m","men"
"3:32.03","1979-08-15","1500m","men"
"3:32.16","1974-02-02","1500m","men"
"3:33.1","1967-07-08","1500m","men"
"3:35.6","1960-09-06","1500m","men"
"3:36.0","1958-08-28","1500m","men"
"12:37.35","2004-05-31","5000m","men"
"12:39.36","1998-06-13","5000m","men"
"12:39.74","1997-08-22","5000m","men"
"12:41.86","1997-08-13","5000m","men"
"12:44.39","1995-08-16","5000m","men"
"12:55.30","1995-06-08","5000m","men"
"12:56.96","1994-06-04","5000m","men"
"12:58.39","1987-07-22","5000m","men"
"13:00.40","1985-07-27","5000m","men"
"13:00.41","1982-07-07","5000m","men"
"13:06.20","1981-09-13","5000m","men"
"13:08.4","1978-04-08","5000m","men"
"13:12.86","1977-07-05","5000m","men"
"13:13.0","1972-09-20","5000m","men"
"13:16.3","1972-09-14","5000m","men"
"13:16.6","1966-07-05","5000m","men"
"13:24.2","1965-11-30","5000m","men"
"13:25.7","1965-06-04","5000m","men"
"26:17.53","2005-08-26","10000m","men"
"26:20.31","2004-06-08","10000m","men"
"26:22.75","1998-06-01","10000m","men"
"26:27.85","1997-08-22","10000m","men"
"26:31.32","1997-07-04","10000m","men"
"26:38.08","1996-08-23","10000m","men"
"26:43.53","1995-06-05","10000m","men"
"26:52.23","1994-07-22","10000m","men"
"26:58.38","1993-07-10","10000m","men"
"27:07.91","1993-07-05","10000m","men"
"27:08.23","1989-08-18","10000m","men"
"27:13.81","1984-07-02","10000m","men"
"27:22.47","1978-06-11","10000m","men"
"27:30.47","1977-06-30","10000m","men"
"27:30.80","1973-07-13","10000m","men"
"27:38.35","1972-09-03","10000m","men"
"27:39.89","1965-07-14","10000m","men"
"28:14.0","1965-06-16","10000m","men"
"28:15.5","1963-12-18","10000m","men"
"28:18.1","1962-08-11","10000m","men"
"28:18.8","1960-10-15","10000m","men"
"12.8","2012-09-07","110mh","men"
"12.87","2008-06-12","110mh","men"
"12.88","2006-07-11","110mh","men"
"12.91","1993-08-20","110mh","men"
"12.91","2004-08-27","110mh","men"
"12.92","1989-08-16","110mh","men"
"12.93","1981-08-19","110mh","men"
"13","1979-05-06","110mh","men"
