"Gender","Event","Year","Sport"
"Men","10000m",2005,"Track and field"
"Men","100m",2009,"Track and field"
"Men","110mh",2012,"Track and field"
"Men","1500m",1998,"Track and field"
"Men","20-kilometres-race-walk",2015,"Track and field"
"Men","200m",2009,"Track and field"
"Men","3000h",2004,"Track and field"
"Men","3000m",1996,"Track and field"
"Men","400m",1999,"Track and field"
"Men","400mh",1992,"Track and field"
"Men","4x100m",2012,"Track and field"
"Men","4x400m",1993,"Track and field"
"Men","50-kilometres-race-walk",2014,"Track and field"
"Men","5000m",2004,"Track and field"
"Men","800m",2012,"Track and field"
"Men","decathlon",2015,"Track and field"
"Men","discus-throw",1986,"Track and field"
"Men","hammer-throw",1986,"Track and field"
"Men","high-jump",1993,"Track and field"
"Men","javelin-throw",1996,"Track and field"
"Men","javelin-throw-old",1984,"Track and field"
"Men","long-jump",1991,"Track and field"
"Men","marathon",2014,"Track and field"
"Men","Mile",1999,"Track and field"
"Men","pole-vault",1994,"Track and field"
"Men","shot-put",1990,"Track and field"
"Men","triple-jump",1995,"Track and field"
"Women","10000m",1993,"Track and field"
"Women","100m",1988,"Track and field"
"Women","100mh",2016,"Track and field"
"Women","1500m",2015,"Track and field"
"Women","20-kilometres-race-walk",2015,"Track and field"
"Women","200m",1988,"Track and field"
"Women","3000h",2008,"Track and field"
"Women","3000m",1993,"Track and field"
"Women","400m",1985,"Track and field"
"Women","400mh",2003,"Track and field"
"Women","4x100m",2012,"Track and field"
"Women","4x400m",1988,"Track and field"
"Women","5000m",2008,"Track and field"
"Women","800m",1983,"Track and field"
"Women","discus-throw",1988,"Track and field"
"Women","hammer-throw",2015,"Track and field"
"Women","heptathlon",1988,"Track and field"
"Women","high-jump",1987,"Track and field"
"Women","javelin-throw",2008,"Track and field"
"Women","javelin-throw-old",1988,"Track and field"
"Women","long-jump",1988,"Track and field"
"Women","marathon",2003,"Track and field"
"Women","Mile",1996,"Track and field"
"Women","pole-vault",2009,"Track and field"
"Women","shot-put",1987,"Track and field"
"Women","triple-jump",1995,"Track and field"
"Men","50m freestyle",2009,"Swimming"
"Men","100m freestyle",2009,"Swimming"
"Men","200m freestyle",2009,"Swimming"
"Men","400m freestyle",2009,"Swimming"
"Men","1500m freestyle",2012,"Swimming"
"Men","100m backstroke",2009,"Swimming"
"Men","200m backstroke",2009,"Swimming"
"Men","100m breaststroke",2015,"Swimming"
"Men","200m breaststroke",2012,"Swimming"
"Men","100m butterfly",2009,"Swimming"
"Men","200m butterfly",2009,"Swimming"
"Men","200m ind. Medley",2011,"Swimming"
"Men","400m ind. Medley",2008,"Swimming"
"Men","4x100m freestyle",2008,"Swimming"
"Men","4x200m freestyle",2009,"Swimming"
"Men","4x100m medley",2009,"Swimming"
"Women","50m freestyle",2009,"Swimming"
"Women","100m freestyle",2009,"Swimming"
"Women","200m freestyle",2009,"Swimming"
"Women","400m freestyle",2014,"Swimming"
"Women","800m freestyle",2016,"Swimming"
"Women","100m backstroke",2009,"Swimming"
"Women","200m backstroke",2012,"Swimming"
"Women","100m breaststroke",2013,"Swimming"
"Women","200m breaststroke",2013,"Swimming"
"Women","100m butterfly",2015,"Swimming"
"Women","200m butterfly",2009,"Swimming"
"Women","200m ind. Medley",2015,"Swimming"
"Women","400m ind. Medley",2012,"Swimming"
"Women","4x100m freestyle",2014,"Swimming"
"Women","4x200m freestyle",2009,"Swimming"
"Women","4x100m medley",2012,"Swimming"
